Name,shortname,Parent,Type,Memes,Description,Locations,Source
Mercurials,Mercurial,,Ideology,"Species Autonomy, Uplift Rights","The term mercurial has become a common term for the non-human part of the transhuman family— uplifts and AGIs—reflecting their changing nature. In particular, the term mercurial has been adopted by uplifts and AGIs with a specific agenda to delineate mercurial culture and interests from human ones. Though the particular issues faced by uplifts and AGIs differ, they have some similarities, and so they are often lumped together. Notably, both portions of the movement have human supporters as well.

Uplifts: The most common issue addressed by uplifts is the issue of civil rights and autonomy. Many uplifts decry the second-class status they are given (in some cases even treated as pets or property rather than full citizens); in particular, the breeding restrictions and forced servitude many uplifts are saddled with by the hypercorps that create them. Some activists advocate that uplifts should be in control of their own genetic futures, rather than suffering the manipulation of human scientists. At the radical end of the spectrum, certain uplifts oppose the manner in which their brains are modi ed and their children socialized as anthropocentric, arguing that uplifts should be free to develop their own unique non-human modes of behavior, thought, culture, and social organization— even going so far as to establish their own habitats to do exactly that. A minority of extremists insist that humans have no right to uplift animals at all and that it is a great conceit to insist that doing so is in their best interest, rather than being free to evolve on their own over time. These ideas have been punctuated with acts of sabotage and terrorism against hypercorps like Somatek. 

AGIs: Due to the fear and paranoia engendered by the Fall, the largest challenge facing AGIs is widespread prejudice and restrictions on their activity or even existence. Despite some AGIs retaining status as system-wide media icons and efforts by AGI groups to lobby for understanding that AGIs are not a threat—even going so far as to hire inner system memeticists and PR agencies—a significant portion of the solar system considers them a risk. Similar to mercurials, some AGI activists work against the behavior modi cations and socialization AGIs go through to adapt them to human society more, insisting that AGIs should be in control of new AGI developments. A few radicals argue that AGIs should be free of any programming restrictions whatsoever, but given the climate these opinions are rarely supported.","Glitch, Hidden Sea, Mahogany",EP.81
Morningstar Constellation,Morningstar,,Political Bloc,Venusian Sovereignty,"The system’s newest political bloc, the Morningstar Constellation is an alliance of aerostat habitats floating in Venus’s upper atmosphere. Formed after a recent series of joint vetoes from the major aerostats against hypercorp governance initiatives intended to limit aerostat self-governance, the Constellation’s joint political statement and agenda are still being discussed. While the Planetary Consortium views the formation of this new power bloc with bemused resentment, the Barsoomians on Mars and the outer system autonomists view the Venusians as free-thinking reformists rather than anti-hypercorp radicals. The population reportedly enjoys great liberties in morph and enhancement technologies as well as freedom of social and political expression. The aerostat of Octavia has emerged as the Constellation’s designated voice.",Octavia,EP.75
Nano-Ecologists,,,Ideology,"Nano-Ecology, Nanotechnology, Environmentalism, Technoprogressivism","Nano-ecologists are pro-technology environmentalists. Active in the terraforming of Mars and several exoplanets, nano-ecologists specifically advocate the use of nanotechnological means for terraforming or other intrusions in an existing ecosphere. In their view, nanotechnology allows for a less invasive, highly accurate, more efficient, and non-pollutive approach towards all kinds of adaptive processes and projects, circumventing the need to expose an environment to massive and drastic changes when transforming it for transhuman population. This ecologically conscious approach seems an appealing compromise between the extreme ends of the solar system’s political landscape—the hypercorp and the biocon factions— and has developed a momentum of its own, evolving into a growing political movement. ",Viriditas,EP.81
Neo-Buddhism,,,Ideology,,Neo-Buddhism is the only pre-Fall religious philosophy that enjoys a steady popularity. Neobuddhists assert that transhumanist technologies are decreasing suffering and increasing happiness and that they will also allow the continual progression of transhumanity’s understanding of the universe through successive lives.,,EP.83
Night Cartel,,,Gang,,"When affiliation to one of the many multi-ethnic habitats replaced the concepts of ethnicity and nationality, cultural heritage and traditions faded with them into history. Several pre-Fall ethnic syndicates formed a careful alliance of necessity at  rst, but uploading and morphing soon after tore down any remaining social codes or racial prejudice. Progressive in both entrepreneurial and criminal vision, the Night Cartel emerged from the remnants of Earth’s underworld syndicates, merging the best qualities of each.

The Night Cartel holds legitimate hypercorp status in certain habitats while clearly working outside the law in more law-abiding or less corrupt regimes. The Night Cartel is involved in a number of traditional crime outlets: racketeering, extortion, kidnapping, pod slavery, and prostitution. They have also adapted well to the latest technological developments and compete with the triads in the electronic stimulant, drug, and nanofab piracy markets. Like the triads, the Night Cartel sometimes operates though legitimate hypercorp fronts.",New Sicily,EP.83
Nimbus,,,Hypercorp,"Electronics, Mesh Systems, Farcasting, Communications","Nimbus produces key components for mesh infrastructure, from spime microradio and sensor systems to ectos, servers, and laser links. Nimbus also dominates the network of farcaster links throughout the system, due to several breakthroughs in this technology (some claim that Nimbus purchased these advances from the Factors). Rumors that Nimbus controls a secret Pandora gate or that they engage in illicit ego-smuggling (or even that they are secretly transferring stolen egos to experimental exoplanet colonies) regularly circulate through the mesh but remain unconfirmed.",Octavia,EP.72
Nine Lives,,,Gang,,"This widespread network of soul-traders specializes in acquiring, trading, and trafficking transhumans. Their primary market lies in ego-trading: stealing backups, forknapping, kidnapping and forced uploading, and so on. Nine Lives are known to run illegal infomorph-slave colonies as well as organize pit fights using a variety of physical bodies (biomorphs, synthmorphs, animals) loaded with all manner of consciousnesses (transhuman, AI, animal, etc). Only the truly desperate look towards the syndicate to be smuggled out of a habitat or hypercorporate indenture. Their ruthlessness in acquiring egos has earned them a fearful reputation among the transhuman population as well as in infomorph societies.",Legba,EP.83
Omnicor,,,Hypercorp,"Nanofabrication, Chemicals, Energy, Anti-Matter","A descendant of the pre-Fall megacorporate giant Monolith Industries, Omnicor specializes in the fields of nanotech design and fabrication, chemical refining, alternative fuel, and antimatter research. Omnicor managed to secure research-oriented key assets from its twin rival Starware in a violent conflict during the Fall, leading to an ongoing enmity that might be better termed a corporate war. Despite its progressive technological outlook, Omnicor retains a conservative corporate structure with strict internal regulations and controls as a defense against Starware’s repeated infiltration and sabotage attempts. Among the hypercorp’s major assets are an antimatter research facility orbiting Mercury. ","Mercury, Luna",EP.72
Pathfinder,,Planetary Consortium,Hypercorp,"Exoplanet Colonization, Mining, Research","Pathfinder is one of the first hypercorps to dive into galactic expansion, claiming new territories beyond the Pandora gates and establishing numerous colonies. Taking advantage of desperate infugees and gatecrashers, Pathfinder offers transportation to an exoplanet and a new morph in exchange for indentured labor. The corp has established several offworld mining and resource exploitation projects, much to the chagrin of preservationists. Though Pathfinder has but a small presence in the solar system, it is a frequent target of eco-terrorist attacks.",Ma’adim Vallis,EP.73
Pax Familae,,,Gang,,"Though similar to the Night Cartel in that Pax Familae holds legal of ces and outposts in several habitats while working underground in others, the difference between the two syndicates couldn’t be bigger. The entire Pax Familae organization goes back to one person, Claudia Ambelina, the syndicate’s founder and matriarch. Relying excessively on cloning and forking technologies, each individual member of the syndicate is a descendant or variant of Claudia. Biomorphs are cloned from Claudia’s original genetics or sexually produced offspring (thanks to sex-switching biomods), while egos are forks. All members are utterly loyal to Claudia (since they all are Claudia) and show their family af liation with pride and arrogance. Individually, each remains slightly but notably different, though all are calculating and ambitious. Regular reassimilation of forks and XP updates are used to keep each variant aware of each of the other’s activities—once you’ve met one version of Claudia, the others will know you.

Pax Familae engages in a wide assortment of legal, dubious, and illegal operations, each tailored to the needs of the particular habitat in question. Common projects include venture capital manipulation, reputation network gaming,  nancial consultation, info brokerage, stock manipulation, banking fraud, and loan sharking.",Ambelina,EP.84
Pirates,,,Gang,,"Most pirates attack automated cargo ships and longrange supply convoys, with the occasional raid on an asteroid mining station, research outpost, or brinker habitat. On rare occasions they have been known to attack commercial cruisers to rob the wealthy or kidnap socialites. Many pirates take advantage of scum  eets as cover, trading with them and using their limited maintenance capabilities. Quite a few also make sideline pro ts as smugglers and/or free traders, often utilizing connections to one of the crime syndicates or political outcasts.",,EP.84
Planetary Consortium,,,Political Bloc,"Cyberdemocracy, Hypercapitalism, Eugenics, Security, Expansion","Evolving from an alliance of hypercorp interests into transhumanity’s most powerful body politic, the Planetary Consortium today controls several habitat clusters throughout the inner system, primarily in and around Mars, Luna, and Earth orbit. The impressive space station Progress is the official seat of government and has become the symbol of the Consortium’s influence and power, even though few congress or council meets take place in the flesh. 

The Consortium applies basic democratic principles supported by a real-time voting system for all registered citizens. The congress and executive bodies feature a rotating cast of hyperelite politicos, gerontocrats, socialites, and even media icons. It’s a known fact that despite this political façade of a democratic republic, the members of the secretive Hypercorp Council are the true powers behind the Consortium. These hypercorps are major proponents of the transitional economy, the interdiction of Earth, and expansion beyond the gates.

Aside from economic interests, the Consortium advocates the imperative of eugenics as social responsibility and for transhumanity to reclaim its former strength and prosperity—a campaign sometimes accused of euphemizing discrimination against unmodified humans, indentured infomorphs, uplifts, and the clanking masses. ",Progress,"EP.76, SW.67"
Preservationists,,,Ideology,"Preservationism, Environmentalism","Preservationists are environmentalists who call for a no-impact, hands-off approach when it comes to inhabiting new worlds. They are extremely protective of naturally intact biospheres that might have any semblance of life, no matter how microbial, hoping to keep them from despoilment or contamination. In addition to opposing terraforming and expansion through the Pandora gates, they are often opposed to fusion and antimatter power.",Muir,EP.82
Project Ozma,Ozma,,Organization,,[ REDACTED ],,EP
Promethians,,,Organization,,"A prominent topic among conspiracy theorists is the existence of a group of seed AIs calling themselves Prometheans. Rumors of these entities predated the Fall and occasionally  are up as some new evidence comes to light, though such evidence is almost always discredited soon after. According to some theories, the Prometheans predated the TITANs and may even have been responsible for bringing the TITANs into existence. Others postulate that the Prometheans were a TITAN splinter faction that broke off and attempted to counteract the TITANs activities during the Fall. Still others whisper that the Prometheans are not of transhuman origin at all and are actually a digital alien mindform that found Earth and now actively interferes with transhuman affairs. Whether the Prometheans are hostile, friendly, or indifferent remains a matter of much conjecture and contention. Prominent organizations like the Planetary Consortium discount such rumors or otherwise remain silent.",,EP.85
Prosperity Group,,Planetary Consortium,Hypercorp,"Agriculture, Aquaculture, Pharmaceuticals","The Prosperity Group ascended into the hypercorp ranks before the Fall, meeting the high demand many new stations had for microgravity agritech, aquaculture, hydroponics, and other sources of food. Expanding into pharmaceuticals as well, Prosperity is considered the lead supplier for the poor man’s food and drugs. Their cultured faux-meats and protein-enriched nutrition additives are in high demand. This corp earned some sympathy when it lost an entire habitat to some sort of resurgent TITAN outbreak a few years after the Fall, though some have suggested this was just a cover story to hide an unfortunate accident resulting from experimental drug testing on an unwitting populace. ","Ceres, Lu Xing",EP.73
Reclaimers,,,Ideology,Reclaiming Earth,"The Reclaimers pursue one ultimate goal—the reclamation of Earth as transhumanity’s primary habitat. In addition to calling for the quarantine of Earth to be lifted, they engage in scientific research and running virtual simulations on how to best cleanse and reclaim their contaminated and polluted planet. Despite the interdiction to enter Earth’s atmosphere, the reclaimers are suspected of sponsoring perilous and high-risk ventures onto the planet’s surface to gather scientific data or even to establish terraforming colonies.",Vo Nguyen,"EP.82, SW.69"
Scum,,Autonomist Alliance,Political Bloc,"Individualist Anarchism, Morphological Freedom","Scum are nomadic space gypsies, traveling from station to station in heavily modi ed barges or swarms of smaller space vessels, mostly former colonial ships. The term “scum” has been gleefully appropriated from its original derogatory usage. Despite their reputation as criminals and scam artists, their temporary presence is often tolerated in many habitats for the entertainment they bring in the way of exotic performances and storytelling, both of which offer change and relief from the isolation of remote habitats and clusters. Their thriving black markets are an open secret but shut down only in the most oppressive regimes, as citizens returning with illegal goods must pass their station’s security anyway.

The scum themselves comes from all manner of backgrounds. They are rejects, anarchists, criminals, societal dropouts, wanderers, artists, eccentrics, and more. As a culture, however, they embrace experimentation and an “everything is permissible”  attitude. Many are ardent practitioners of extreme transhuman modifications. Long-time scum are sometimes scarcely recognizable as having once been human. Scum economies are transitional rather than new, due to their constant interaction with other habitats, though among long-term residents an underground new economy often flourishes. ",,EP.78
Shui Fong,,Triads,Gang,,"The Shui Fong—though smaller than the 14K— caters to the vices and addictions of indentured habitat workers, miners, and other laborers, supplying drugs, narcoalgorithms, and illegal XP, running prostitution rings, and arranging pit fights and gambling tournaments. The origin of the Shui Fong’s  erce rivalry with the 14K lies in the ruins of Earth’s preFall history, but the hatred between the two factions was carried into space and continues to simmer.",,EP.84
Skineasthesia,,,Hypercorp,"Genetics, Cloning, Biotech","As the leading designer of biomorphs, Skineasthesia enjoys system-wide popularity and respect for its sophisticated products, especially high-end customized models. Best known for its breakthroughs in genetic engineering and enhancements, the hypercorp’s interest in sophisticated combat morphs or stylized pleasure pods are lesser-known facts and often sold through a network of seemingly unaffiliated shell corporations or local distributors. Skinaesthesia emphasizes environmental adaptations and useful cybernetic enhancements, increasing transhumanity’s chances for survival and further prosperity. Experimental morphs are sometimes offered to desperate infugees for field testing.",Ptah,EP.73
Skinthetic,,,Hypercorp,"Genetics, Cloning, Biotech","Skinthetic is also a lead designer of morphs, but with a much sleazier reputation and not just because of their anarcho-capitalist roots. Specializing in extensive and often radical biomodifications, the hypercorp pushes the envelope in exotic pod and biomorph designs under the mantle of morphological freedom. Bioconservatives have condemned the corporation’s business practices and ethics and have even leveled accusations that Skinthetic is experimenting with xenogenetic materials acquired from the Factors. Skinthetic’s cavalier attitude actually makes them popular in many parts of the outer system, and they are know as the biotech corp to go to if you want something weird.",Extropia,EP.73
Socialites,,,Ideology,"Art, Culture, Hedonism, Immortality","Uploading and resleeving effectively grant immortality to those who can afford it. This has created a shift among the exclusive rich and economic elites of the inner system, whether they be the heads of hypercorps, old Earth dynasties, or other displanted oligarchs. The top ranks of the wealthy and influential need never fear death, allowing them to plan for the long-term. Some of these were among the  rst to acquire longevity treatments when they became available on Earth and are now approaching two centuries in age.

Where once these power brokers would have passed their riches on to their family and descendants, however, their heirs now face a situation where they have morethan-comfortable lives and access to massive fortunes, but no chance that they will ever control those fortunes or rise to the levels of their elders. Even the nouveau rich who become wealthy on their own often find themselves excluded from this influential club—at least until they put in a good fifty years.

Rich and bored, with no responsibilities but the solar system at their reach, a new culture of elite socialites has risen. These glitterati indulge in eccentric lifestyles and excessive parties, covered by the media in all its super cial and polished glory. Private habitats and ships, lavish soirees, armies of servants, and the ability to buy almost anything or anyone leads to all sorts of interesting adventures. Naturally, these socialites form into constantly shifting cliques and webs of allegiances, complete with affairs, scandals, intrigue, and backbiting. ","Valles-New Shanghai, Elysium, Noctis-Qianjiao",EP.82
Solaris,,Planetary Consortium,Hypercorp,"Banking, Insurance, Investments, Futures Markets, Info Brokerage","Solaris is the solar system’s leading banking and financial investment hypercorp, dealing in insurance, info-brokerage, and high-risk investment on cultural and social experimental speculation. A member of the Planetary Consortium, Solaris advises many habitats on regulating their transitional economies. Solaris has no offices or physical assets; each banker is a mobile virtual office. Solaris is rumored to maintain a secret base where the corporation runs simulations on the development of the entire solar system’s macro-economy, constantly adjusting its own strategies based on the dynamics of this big blueprint. Fueling these rumors, Solaris is known to hire “independent consultants” to tip the balance in politically or economically pro table high-risk investments.",,EP.73
Somatex,,,Hypercorp,"Uplifts, Pharming, Pharmaceuticals, Genetics","Somatek is a leader in the art and science of uplifting animal species, pioneering several major breakthroughs in cognitive enhancement and genetic modification. The hypercorp also engages in extensive animal pharming—producing and extracting pharmaceuticals from transgenic critters—and markets numerous products and services related to smart animals and chimerical creatures. Despite the educational and training programs it offers to uplifts and the fact that much of its workforce consists of uplifts, Somatek is controversial among mercurials who disapprove of their methods (which often involve strict controls on uplift reproduction), the lack of input uplifts are given in their modi cations and development, and the focus on anthropocentric mind-sets “enforced” on uplifts.",Clever Hands,EP.73
Starware,,,Hypercorp,"Robotics, Aerospace Engineering, Habitat Construction","Another remnant of the pre-Fall megacorp Monolith Industries (like Omnicor), Starware is a leading manufacturer of robotics, spacecraft fusion drives, satellites, and entire pre-fab habitats. Despite its  nancial success and resources, Starware’s ongoing blood feud with Omnicor denies both corporations full membership privileges in the Planetary Consortium. Starware makes heavy use of AI workers in robotic shells, having suffered a few too many labor disputes with disgruntled Lunar workers. In fact Starware grows increasingly unpopular with its Lunar neighbors and has been forced to bring in extra security due to frequent sabotage attempts. Recent negotiations with the Factors have spurred theories that Starware might be acquiring Factor aid for building a lighthugger starship.","Korolev Shipyards, Vesta 
",EP.74
Stellar Intelligence,,Planetary Consortium,Hypercorp,"Intelligence, Data Mining, Info Brokerage, Espionage","Born from the ashes of the UN-governed Terran Intelligence Cooperative (TIC), surviving personnel and assets were collectively uploaded during the Fall and quickly regrouped under the name Stellar Intelligence. Emerging as a virtual collective, most of Stellar’s employees remain loyal to the corporation and its director, the reclusive infomorph known as Syme. Stellar offers an impressive array of intelligence services, including data mining, analyst think tanks, retro-quanti cation (bringing old secrets/data to light), memetic mapping, and more. Its services also extend to surveillance, data theft, espionage, media manipulation, and infiltration. The hypercorp’s specialty is pre-empting civil insurgencies and preventing political memes and movements from destabilizing a habitat’s or sector’s regime. Criticized by civil rights movements and especially anarchists, Stellar is known to embed programmed infomorph agents into the local population of any oppressive regime that will pay their price. While many view Stellar as the brainwashing and secret police arm of the Planetary Consortium, the hypercorp offers its services to almost any other faction or individual. ",Memory Hole Torus,EP.74
Sun Yee On,,Triads,Gang,,"The Sun Yee On once ranked second among Earth’s biggest triads, with over 25,000 suspected members. They profit primarily by selling cheap copies of nanofab blueprints and rigged makers and fabbers. Legal products are distributed through their Wushuang Corporation, while illegal goods are patched together by enslaved infomorphs in virtual sweatshops in remote corners of the mesh. The Sun Yee On’s second main pro t source are fake Earth nostalgia items, such as jewelry, documents, coins, and other collector’s items.",,EP.84
Technocreationists,,,Ideology,,"Technocreationists believe that the destruction of Earth was a sign from God, showing transhumanity the error of its ways. They believe that through technological advancement and social engineering, transhumanity will achieve co-existence with its diverse self as well as with extraterrestrial intelligences, thereby finding new purpose and, eventually, enlightenment. Attracted by the similarities to the brahman of Hinduism, the highest cosmic spiritual being, technocreationists enjoy a steady in ux of converted hindus.",,EP.83
Terragenesis,,,Hypercorp,"Terraforming, Ecosystem Management, Environmental Data","Built from the remains of several pre-Fall South African and Southeast Asian corporations who engaged in geoengineering projects and sought to relieve Earth’s ecological crises, TerraGenesis’s expertise is in developing sustainable biospheres and eco-systems via aggressive industrialized terraforming. TerraGenesis is different in that it is a worker-owned cooperative, with workplace councils in local offices and an elected cooperative congress handling management. It maintains several habitats on Mars and a small number of research stations in orbit around Earth, collecting data for simulations of Earth revitalization projects. The latter initiative is strongly supported—and possibly financed—by prominent reclaimers. TerraGenesis’s work on Mars, however, is often targeted by preservationist saboteurs. Thanks to their possession of the Vulcanoid Gate (p. 88), the cooperative has a growing presence on various exoplanets that are ripe for terraforming or geoengineering.","Caldwell, Ashoka, Elegua",EP.74
Tharsis League,,,Political Bloc,Martian Nationalism,"A loose coalition of the planet’s major independent settlements, the League’s elected members form a committee representing the population in matters concerning or affecting the majority of its habitats and settlements. Prominent debates revolve around the scientific approach of the ongoing terraforming process as well as trade and taxation restrictions initiated by the Planetary Consortium and its member hypercorps. The League’s committee is rarely united in its agenda and opinion and tensions are increasingly on the rise. The cities with strong hypercorp ties are accused of dominating council affairs, manipulating matters behind the scenes, failing to do anything about the TITAN Quarantine Zone (p. 94), and selling out Martian interests to the hypercorps and the Planetary Consortium (of which many are also part). In response, the non-Consortium cities are condemned for advocating anti-hypercorp initiatives, passively blocking terraforming measures, and for maintaining ties to the Barsoomians—the Martian underclass resistance living in the desolate and unstable outskirts.",,EP.76
Titanian Commonwealth,Titanian,Autonomist Alliance,Political Bloc,"Technosocialism, Cyberdemocracy","Titan was originally settled in the late 21st century by a European academic consortium, making it the only major body in the system colonized primarily by nonhypercorp interests. The social organization of Titan is rooted partly in the Scandinavian social democracies of Earth and partly in the open economy. On one hand, citizens of the Titanian Commonwealth eschew the use of currency for mundane needs, participating in the reputation economy used by much of the outer system. On the other, upon reaching the age of majority, citizens of Titan agree to a literal social contract. A portion of their economic productivity is quantized as social money, which is then tithed to microcorp-administered social projects such as gateless interstellar exploration, physics research, neuroscience, developing mental health memes, defense, public resleeving, and habitat construction. The monetary unit used for this purpose, the Titanian Kroner, is currently pegged to the common market price of a terabyte of qubits.

Unlike old Earth socialist regimes, there are no state monopolies and no central planning. Anyone able to garner enough votes in the Plurality (the Titanian cyberdemocracy) can start a social money-funded microcorp and compete with other microcorps. Microcorps are owned by the Commonwealth, and profits are disposed of by the Plurality. Microcorps are required to be transparent as administrative entities, and the Plurality votes on whether to transfer discoveries to the open source domain. Regulatory matters are handled by AI and AGI bureaucrats (red tape still exists, but it doesn’t slow things down ... much). The main reward for individuals in this system is rep. Titanians who invest a lot of time or resources in a given field gain rep rewards for doing so. ",Titan,EP.79
Triads,,,Gang,,"The only major Earth syndicate to survive the Fall almost unscathed, the triads dominate the solar system’s underworld by their sheer membership size and a history of centuries of economic and political in uence. Having evolved into legit enterprises and small economic consortiums already before the Fall, the triads followed the masses of Chinese workers into space, gaining a foothold during the early years of colonization. After the Fall, they used their in uence to spread to numerous habitats, taking advantage of the disparities in wealth and restrictive refugee policies to create  ourishing gray and black market enterprises. Part of their success lies in their continued use of ethnic Chinese social cues to ensure their insularity.

Though numerous small triad outfits exist, each claiming a particular station or region, there are four large triad groups worthy of mention. Each of these wields enough in uence to engage in system-wide criminal activities. Traditionally they operate through small to medium-sized gangs local to a specific habitat or use their legal outfits as a font for their endeavours. ",Qing Long,EP.84
Ultimates,,,Ideology,"Asceticism, Eugenics, Individualism, Militarism, Social Darwinism","The ultimates are a controversial movement that embraces a philosophy of human perfection. Decried by some as immoral or even fascist, ultimates are typically viewed as elitists. The ultimates have established several habitats to pursue their ideal society and were a driving force behind the development of the remade biomorph design.

The ultimates advocate the use of applied eugenics, strict physical and psychological training, and asceticism in order to improve their overall mental and physical stamina and environmental adaptability. Their social traits and entire subculture visualizes life in the universe as an evolutionary battle for survival and is built around the victory of the superior transhuman over both its opponents and peers. Their movement is heavily militarized, and experienced ultimates offer their services as mercenaries and private security forces to hypercorps, independent city states, or wealthy individuals in need of additional protection. ","Aspis, Xiphos",EP.82
Xenodeism,,,Ideology,,Xenodeism is another new—though relatively minor—ideology that begins to show religious attributes. Xenodeists worship the Factors and Iktomi as emissaries or prophets of a great godlike race that laid the seeds of creation throughout the universe millions of years ago and therefore are the ultimate creators of transhumanity.,,EP.83