name,type,description,cost,minimum,blueprints,source,bonuses,durability,armor,mobility,speed,augmentations,skills,ai
Dwarf,Robots,"These large industrial bots are named not just for their primary use""mining, excavation, tunneling, and construction""but because the default AIs they shipped with had a programmed tendency to happily whistle as they worked. Dwarfs are quadrapedal walkers, equipped with massive modular industrial tools like boring drills, shovels, hydraulic jacks, jackhammers, scooping arms, acid sprays, and so on.",Expensive,,FALSE,EP.345,"0,0,0,0,0,10,0",150,16/12,Walker,4/12/20,"Access Jacks, Extra Limbs:4, Industrial Armor, Radar, Sonar",,
Sentry Bot,Robots,"Sentry bots come in many makes and models; the version described here is typical of its kind. Maneuvering on four multi-directional smart treads, this transhuman-sized bot is armored and loaded with weaponry. Used throughout the solar system for security and defensive purposes, gatecrashers often bring sentry bots along as a line of defense against hostile life or other threats. This line of bots is equipped with four weapon mounts, carrying by default a laser pulser, agonizer, shredder, and seeker ri e. The beam weapons are continuously powered by the robot’s nuclear battery, while the ammo bins have enough capacity for 1,000 shredder flechettes and 20 minimissiles.",Expensive,,FALSE,GC.162,"0,0,0,5,0,0,0",75,14/12,Tracked,4/16/35,"Image Recognition Software, Lidar, Light Combat Armor, Neurachem, T-Ray Emitter, Weapon Mount:Agonizer, Weapon Mount:Seeker Rifle, Swivel Weapon Mount:Laser Pulser, Swivel Weapon Mount:Shredder","Beam Weapons 40, Fray 40, Perception 40, Seeker weapons 40, Spray Weapons 40",
Interceptor,Robots,"Interceptors are robotic spacecraft that are used as part of the cordon around Earth. Clearly of cutting- edge design, interceptors have no external markings to indicate their manufacturer, which suggests that they are deployed by a Planetary Consortium military-tech project. Interceptors are extremely fast, extremely agile, very well armored, and heavily armed. They carry multiple lasers and railguns on swivel-mounts to fire in any direction and are equipped with a missile launcher and explosive missiles. Attempts by scavengers and other parties to capture interceptors have so far failed due to a built-in self-destruction system—the magnitude of the blast suggesting an anti-matter charge ",,,FALSE,,"0,10,0,0,0,10,0",50,20/20,Thrust Vector,12/200/200,"360-degree Vision, Enhanced Vision, Lidar, Heavy Combat Armor, Medichines, Neurachem (Level 2), Oracles, Radar, Structural Reinforcement, T-Ray Emitter, Weapon Mount, Railgun Machine Gun, AP, Particle beam bolter, Disposable Launcher, HEAP missile:4",,
Guardian Angel,Robots,"Similar to gnats, guardian angel rotorcraft hover around their charges, keeping a watchful eye out to protect them from threats.",Moderate,,TRUE,EP.345,"0,0,0,5,0,0,0",40,14/12,Rotor,8/40/80,"360-Degree Vision, Access Jacks, Chameleon Skin, Eelware, Enhanced Hearing, Enhanced Smell, Enhanced Vision, Lidar, Light Combat Armor, Neurachem, T-Ray Emitter",,
Creepy,Robots,"Creepies are small crawler bots that come in an eclectic variety of shapes and forms, from robosquirrels to insectoids to bizarre and artsy mechanical creatures. Creepies were originally designed as a sort of robotic pet, but they are commonly used as a general purpose household minion, like a more beloved servitor. Many people in fact wear a creepy on their person, dropping it to handle small tasks for them and letting it crawl up and down and over their body.",Low,,TRUE,EP.345,"0,5,0,0,0,0,0",25,2/2,Walker,4/12/12,"Access Jacks, Chameleon Skin, Extra Limbs:8, Grip Pads",,
Recon Snake,Robots,"Meter-long synthetic snake. Ideal for exploring cracks, holes, etc. Equipped with image recognition software to find hidden objects.",Moderate,,TRUE,GC.162,"0,5,0,0,0,0,0",25,2/2,Snake,4/8/12,"Access Jacks, Chameleon Skin, Eelware, Enhanced Hearing, Enhanced Vision, Headlights, Image Recognition Soft- ware, Magnetic System, Shape Adjusting, Sonar",,
Spider Hand,Robots,A small robotic hand commonly used by uplifts who need a human hand design/strength to handle a task. ,Moderate,,TRUE,PO.158,"0,10,0,0,0,0,0",10,,Walker,2/8/12,"Access Jacks, Cyberclaws, Grip Pads, Pneumatic Limbs",,
Speck,Robots,"Specks are tiny insectoid spy drones, 2.5 mm long and 2 mm wide, about the size of a small fruit fly. They fly with tiny wings, carry a microbug, and are excellent for surveillance purposes or otherwise being a ""speck on a wall."" Specks are difficult to notice (-30 Perception modifier) and almost impossible to distinguish from an actual insect.",Low,,TRUE,EP.346,"0,5,0,5,0,-10,0",5,,Winged,1/5/5,"Access Jacks, Grip Pads, Enhanced Hearing, Enhanced Vision, Synthetic Mask",,
Automech,Robots,"Automechs are general purpose repair drones, found just about everywhere. Each particular automech tends to specialize in a particular type of repair work and so carries the appropriate tools and AI skills, whether it be habitat waste recyclers, outer hull integrity, or servitor systems. Standard automechs are wheeled cubes with articulated limbs, though they are also equipped with vectored-thrust drives for zero-G work.",Moderate,,TRUE,EP.345,,30,4/4,Thrust Vector,4/8/8,"Access Jacks, Electrical Sense, Extra Limbs:4, Headlights, Magnetic System, Radiation sense, Utilitool",,
Bughunter,Robots,Flying Drones that eliminate all sensors in an area.,Moderate,,TRUE,PO.157,,30,,Rotor,4/20/40,"360-Degree Vision, Access Jacks, Disassembly Tools, Electrical Sense, Enhanced Vision, Headlights, Image Recognition Software, Lens Crazer, Lens Spotter, Lidar, Radar, Specialized Hive with Guardian Nanoswarm, T-Ray Emitter, Utilitool, Weapon Mount, Seeker Pistol, EMP Micromissile, HE Micromissile",,
Caretaker,Robots,A bot designed to care for smart animals.,Moderate,,TRUE,PO.157,,25,,Wheeled,4/20/30,"Access Jacks, Chem Sniffer, Image Recognition Software, Lidar",,
Defense Platform,Robots,This robotic weapons platform is a defensive system for small settlements. They are often placed in orbit to guard against encroaching intruders.,Expensive,,FALSE,RW.192,,250,16/16,Thrust Vector,8/40/40,"360-Degree Vision, Access Jacks, Anti-Glare, Chameleon Skin, Cryonic Protection, Ego Sharing, Heavy Combat Armor, Hyperspectral Imager, Radar, Radar, Super-Wide Cameras, Weapon Mount:6, Particle Beam Bolter:2, Seeker Rifle:2, Railgun Machine Gun:2","Beam Weapons 40, Fray 40, Kinetic Weapons 40, Perception 40, Seeker Weapons 40",
Dr. Bot,Robots,"These wheeled medical robots are designed to tend to and transport injured or sick people. They carry a healing vat, a specialized pharmaceuticals maker, miscellaneous medical gear, and articulated arms for conducting remote surgery.",Moderate,,TRUE,EP.345,,40,,Wheeled,4/16/16,"Access Jacks, Enhanced Smell, Fabber, Fractal Digits, Healing Vat, Nanoscopic Vision",,
Explorenaut,Robots,"Dog-sized wheeled bots that are tethered back through the gate. Equipped with audio, visual, chemical, and radio sensors.",Moderate,,TRUE,GC.160,,35,8/8,Thrust Vector,4/20/60,"Access Jacks, Chem Sniffer, Electrical Sense, Enhanced Hearing, Enhanced Vision, Headlights, Image Recognition Software,Lidar, Mobile Lab, Radar, Radiation Sense, Specimen Container, Telescope, T-Ray Emitter, Utilitool",,
Gnat,Robots,"Gnats are small rotorcraft camera/surveillance drones. Many people use gnats for personal lifelogging, while socialites and media use them to capture the glamor or hottest news.",Low,,TRUE,EP.345,,25,2/2,Rotor,8/40/60,"360-Degree Vision, Access Jacks, Enhanced Hearing, Enhanced Vision, Radar",,
Hab Repair Bots,Robots,Crab like and standardized repair bots can be found anywhere transhumanity has spread.,Moderate,,TRUE,PO.157,,40,,Walker,4/16/20,"Access Jacks, Chem Sniffer, Electrical Sense, Enhanced Vision, Extra Limbs (6–8), Grip Pads, Headlights, Maker, Nanoscopic Vision, Repair Spray, Tool Kit, Utilitool",,
Harvester Drones,Robots,A drone with 6 to 8 arms and a small plasma thruster to provide mobility. ,Moderate,,TRUE,PO.158,,50,,Thrust Vector,12/200/200,"360-Degree Vision, Access Jacks, Extra Limbs (4), Enhanced Vision, Headlights, Radar, Radiation Sense, Tool Kit",,
Manipulator Cuff,Robots,Designed to be worn as a forearm cuff on the outside of a vacsuit. It carries a Utilitool and a mobile lab. Can detach and move on its own.,Moderate,,TRUE,GC.160,,5,,Tracked,2/8/8,"Access Jacks, Electrical Sense, Enhanced Vision, Fractal Digits, Grip Pads, Mobile Lab, Nanoscopic Vision, Shape Adjusting, Telescoping Limb, Utilitool",,
Mining Aerostat,Robots,"These Aerostats are deployed on the gas giant planets, loaded with equipment to extract specific volatiles from the atmosphere.",High,,TRUE,RW.192,,20,,Microlight,4/20/100,"Access Jacks, 360-Degree Vision, Enhanced Vision, Image Recognition Software, Laser Link, Radar, T-Ray Emitter",,
Recon Flyer,Robots,Micro-sized recon flyers with gas balloons and turbofans. Equipped with image recognition software. Useful for finding hidden items.,Trivial,,TRUE,GC.161,,5,,Microlight,4/20/20,"360-Degree Vision, Access Jacks, Chem Sniffer, Enhanced Hearing, Enhanced Vision, Image Recognition Software, Radiation Sense",,
Recon Flyer Swarm,Robots,50 Micro-sized recon flyers with gas balloons and turbofans. Equipped with image recognition software. Useful for finding hidden items.,Moderate,,FALSE,GC.161,,,,,,,,
Recon Hopper,Robots,Mini-sized hopper bots for exploring surface terrain. Useful in no atmosphere. Equipped with image recognition software to find hidden objects.,Low,,TRUE,GC.161,,10,,Hopper,4/20/20,"Access Jacks, Electrical Sense, Enhanced Hearing, Enhanced Vision, Grip Pads, Headlights, Image Recognition Software, Radiation Sense",Freerunning 10,
Recon Hopper Swarm,Robots,20 Mini-sized hopper bots for exploring surface terrain. Useful in no atmosphere. Equipped with image recognition software to find hidden objects.,Moderate,,FALSE,GC.161,,,,,,,,
Research Aerostat,Robots,These Aerostats are loaded with sensors and scientific analysis equipment.,High,,TRUE,RW.192,,20,,Microlight,4/20/100,"Access Jacks, Chem Sniffer, Laser",,
Retriever,Robots,"Small car-sized search-and-rescue robots. Equipped with integrated healing vat, shovels, firefighting and paramedic kits.",Expensive,,FALSE,GC.162,,60,14/12,Walker,4/20/30,"360-Degree Vision, Access Jacks, Diamond Axe, Disassembly Tools, Eelware, Enhanced Smell, Enhanced Hearing, Enhanced Vision, Headlights, Healing Vat, Image Recognition Software, Lidar, Light Combat Armor, Maker, Nanobandages:2, Repair Spray:2, Shelter Dome, Swivel Weapon Mount:Agonizer, Swivel Weapon Mount:Shredder, Swivel Weapon Mount:Sprayer with NotWater and Slip, Swivel Weapon Mount:Stunner",,
Robomule,Robots,Human-sized 6 legged simple drones designed to carry up to 250 kg of cargo over rough terrain. Also features a maker providing food for 4 biomorphs.,Low,,TRUE,GC.162,,40,4/4,Walker,4/20/35,"Access Jacks, Headlights, Maker, Extra Limbs:6",,
Saucer,Robots,"These disc-shaped drones are lightweight and quiet. They are typically launched by throwing them like a frisbee, after which they propel themselves with an ionic drive. Saucers make excellent ""eye in the sky"" monitors and scouts.",Low,,TRUE,EP.345,,25,2/2,Ionic,8/40/200,"360-Degree Vision, Access Jacks, Chameleon Skin, Enhanced Hearing, Enhanced Vision, Radar",,
Scorcher,Robots,"Scorchers are a tank-like mining shell used by both corporate mining operations and nomadic sifters on Mercury. Scorchers are designed to operate on Mercury’s terminus and night-side, but they can also survive the planet’s day-side extreme heat conditions. Due to their extensive heat and radiation shielding and cooling systems, scorchers are heavy and slow. Four sturdy legs carry their bulky 3-meter frames, while two manipulator arms allow the morph to carry and manipulate tools. Four additional tool-arm sockets allow for customized equipment such as shovels, drills, pneumatic hammers, and similar mining/construction tools to be attached.",Expensive,,TRUE,SW.170,,250,,Walker,2/4/04,"Access Jacks, Enhanced Vision, Extra Limbs:6–10, Extreme Heat Shielding, Industrial Armor, Radar, Radiation Shielding, Sonar, Wrist-Mounted Tools",,
Servitor,Robots,"Servitors are the most common robot, acting as cooks, janitors, universal helpers, movers, and personal aides. Every home has one, if not several. Servitors are intentionally built in non-humanoid forms so as not to confuse them with common synthmorphs and in order to defuse bad feelings at ordering them around. However, they all have some form of ""face"" to interact with, so as not to be too machine-like.",Low,,TRUE,EP.346,,30,4/4,Walker,4/20/20,"Access Jacks, Extra Limbs:4",,
Skimmers,Robots,"Drones that mine the atmospheres of gas giants for needed elements, usually H3.",Expensive,,FALSE,PO.158,,,,,,,,
Sky Mote,Robots,Mini-sized aerostats designed to keep position over an area and act as a relay point for a mote mesh,Trivial,,TRUE,GC.163,,5,,Microlight,4/20/20,"360-Degree Vision, Access Jacks, Enhanced Vision, Laser Link",,
Sky Mote Swarm,Robots,50 mini-sized aerostats designed to keep position over an area and act as a relay point for a mote mesh,Moderate,,FALSE,GC.163,,,,,,,,
Stealth Drone,Robots,A small plane used to observe targets from overhead.,Expensive,,FALSE,PO.158,,40,4/4,Winged,8/40/200,"Access Jacks, Enhanced Vision, Image Recognition Software, Laser Link, Lidar, Radar, T-Ray Emitter",,
Surveillance Aerostat,Robots,"These Aerostats are equipped with sensors and surveillance packages, serving as an eye in the sky. They are also used for exploration and mapping.",High,,TRUE,RW.192,,20,,Microlight,4/20/100,"Access Jacks, 360-Degree Vision, Enhanced Vision, Image Recognition Software, Laser Link, Radar, T-Ray Emitter",,
Thumper,Robots,"Seismic sensor motes and a weight to be ""thumped"" on the ground. AI has Academics: Geology 60 and Profession: Seismic Surveys 60. Satellite scans apply a +30.",Moderate,,TRUE,GC.163,,30,4/4,Tracked,4/20/20,"Access Jacks, Enhanced Hearing, Geophone Sensors, Headlights, Radar, Weight",,
Surveillance Wobblycat,Robots,"These fast-moving, cat-like bots are about 50 centimeters long (less the tail) and made of stealth materials. They fulfill a surveillance and occasionally anti-personnel role in urban operations. Wobblycats can run, jump, or climb unseen into areas where a human-sized infiltrator would never be able to go, but with much greater speed than nanoswarms.",Expensive,,FALSE,,,15,4/4,Walker,12/60/60,"360-Degree Vision, Access Jacks, Chameleon Coating, COT Tool, Enhanced Hearing, Enhanced Vision, Grip Pads, Lidar, Radar, Radar Absorbent, T-Ray Emitter, Wobblycat AI",,
Explosive Wobblycat,Robots,"These fast-moving, cat-like bots are about 50 centimeters long (less the tail) and made of stealth materials. They fulfill a surveillance and occasionally anti-personnel role in urban operations. Wobblycats can run, jump, or climb unseen into areas where a human-sized infiltrator would never be able to go, but with much greater speed than nanoswarms.",Expensive,,FALSE,,,15,4/4,Walker,12/60/60,"Superthermite Charge, Thermobaric Missile:Detonates internally, Wobblycat AI",,
Nonlethal Wobblycat,Robots,"These fast-moving, cat-like bots are about 50 centimeters long (less the tail) and made of stealth materials. They fulfill a surveillance and occasionally anti-personnel role in urban operations. Wobblycats can run, jump, or climb unseen into areas where a human-sized infiltrator would never be able to go, but with much greater speed than nanoswarms.",Expensive,,FALSE,,,15,4/4,Walker,12/60/60,"Seeker Pistol, Gas Micromissile:10, Overload Micromissile:10, Splash  Micromissile:10, Wobblycat AI",,
Zephyr,Robots,"Medium-sized winged flyers, capable of reconnoitering over long distances quickly. Essentially small planes launched by throwing them.",Low,,TRUE,GC.163,,40,4/4,Winged,8/40/200,"Access Jacks, Enhanced Vision, Image Recognition Software, Laser Link, Lidar, Radar, T-Ray Emitter",,